test_id,server_id,download_connections,download_bytes,download_bytes_percent,name,country,country_code,latitude,longitude,sponsor_name
4508040452,22129,4,1358000,10.50,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"i3D.net"
4508040452,33712,4,4237800,32.78,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
4508040452,34238,4,4690104,36.28,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
4508040452,34239,4,2643164,20.44,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
4508044572,17336,7,60018000,15.19,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
4508044572,33712,8,88018810,22.28,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
4508044572,34238,7,106895600,27.05,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
4508044572,34239,7,140172768,35.48,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
4508046458,17336,4,1332480,18.15,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
4508046458,28422,4,2774612,37.80,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
4508046458,34238,4,1223622,16.67,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
4508046458,34239,4,2009892,27.38,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
4508047047,33712,9,163944986,26.17,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
4508047047,34238,9,195605956,31.23,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
4508047047,34239,9,99560234,15.89,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
4508047047,34240,9,167251067,26.70,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
4508048044,22129,4,95596200,29.59,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"i3D.net"
4508048044,33712,5,55323812,17.13,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
4508048044,34238,5,89012104,27.55,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
4508048044,34240,4,83110168,25.73,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
4508048735,4845,4,8691769,18.65,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"du"
4508048735,11722,4,11636160,24.97,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"Orixcom"
4508048735,22129,4,6238686,13.39,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"i3D.net"
4508048735,34240,4,20035772,42.99,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
4508049394,28422,4,12001102,24.41,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
4508049394,34238,4,10865968,22.10,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
4508049394,34239,4,20444212,41.58,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
4508049394,34240,4,5860400,11.92,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
4508049707,4570,4,2049960,11.68,"Seeb","Oman","OM",23.6803,58.1825,"Omantel"
4508049707,11722,4,1174703,6.69,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"Orixcom"
