test_id,server_id,download_connections,download_bytes,download_bytes_percent,name,country,country_code,latitude,longitude,sponsor_name
7204131837,34240,4,4814560,46.86,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
7204132362,28422,4,31700532,28.28,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
7204132362,33712,4,24488484,21.84,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7204132362,34238,4,36608024,32.65,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7204132362,34240,4,19312088,17.23,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
7204133079,17336,5,8969256,18.39,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
7204133079,28422,6,19042448,39.04,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
7204133079,33712,5,20767256,42.57,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7204143018,5155,4,5880997,19.29,"Dietikon","Switzerland","CH",47.4000,8.4000,"FSIT AG"
7204143018,6251,4,8963182,29.39,"Zürich","Switzerland","CH",47.3690,8.5380,"Netrics Zürich AG"
7204143018,12743,4,7685989,25.20,"Zurich","Switzerland","CH",47.3690,8.5380,"Wingo"
7204143018,24389,4,7963990,26.12,"Zurich","Switzerland","CH",47.3690,8.5380,"GTT.net"
7204157430,28422,4,26898420,30.75,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
7204157430,33712,4,14733620,16.84,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7204157430,34238,4,23944388,27.37,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7204157430,34239,4,21892924,25.03,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
7204160573,28422,4,41778800,51.49,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
7204160573,34238,4,12687708,15.64,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7204160573,34239,4,13803660,17.01,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
7204160573,34240,4,12873700,15.87,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
7204163355,4845,4,5427800,37.48,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"du"
7204163355,11722,4,2965756,20.48,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"Orixcom"
7204163355,22129,4,3071600,21.21,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"i3D.net"
7204163355,34240,4,3017000,20.83,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
7204169750,4845,5,103111040,54.66,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"du"
7204169750,11722,6,17306764,9.17,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"Orixcom"
7204169750,22129,5,19893960,10.55,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"i3D.net"
7204169750,34238,5,48318520,25.62,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7204178754,4845,4,11387232,49.93,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"du"
7204178754,28422,4,2237972,9.81,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
7204178754,34238,4,4402224,19.30,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7204178754,34240,4,4777032,20.95,"Fujairah","United Arab Emirates","AE",25.1288,56.3265,"ETISALAT-UAE"
7204182452,28422,8,327407758,26.93,"Abu Dhabi","United Arab Emirates","AE",24.4539,54.3773,"ETISALAT-UAE"
7204182452,33712,7,299023780,24.59,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7204182452,34238,7,325220348,26.75,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
7204182452,34239,7,264255756,21.73,"Alain","United Arab Emirates","AE",24.1302,55.8023,"ETISALAT-UAE"
7204182965,17336,4,38907400,20.25,"Dubai","United Arab Emirates","AE",25.2500,55.3000,"ETISALAT-UAE"
7204182965,33712,4,44441600,23.13,"Sharjah","United Arab Emirates","AE",25.3463,55.4209,"ETISALAT-UAE"
7204182965,34238,4,57040200,29.69,"Ajman","United Arab Emirates","AE",25.4052,55.5136,"ETISALAT-UAE"
